"task","code","cue","response","target","TSR_score","strict","lenient","condition"
1,38782,"adjust","frozen","frozen",100,"correct","correct","A2_B2"
1,38782,"anguish","giggle","giggle",100,"correct","correct","A2_B2"
1,38782,"apple","juice","fruit",40,"wrong","wrong","trial"
1,38782,"banner","vitamin","vitamin",100,"correct","correct","A2_B1"
1,38782,"bloom","striped","striped",100,"correct","correct","A1_B2"
1,38782,"boost","nuisance","nuisance",100,"correct","correct","A1_B1"
1,38782,"breeding","prolong","prolong",100,"correct","correct","A1_B2"
1,38782,"broker","banking","banking",100,"correct","correct","A1_B1"
1,38782,"click","wizard","wizard",100,"correct","correct","A2_B2"
1,38782,"compound","hairdo","hairdo",100,"correct","correct","A2_B2"
1,38782,"confined","donation","donation",100,"correct","correct","A1_B1"
1,38782,"cosmic","oyster","oyster",100,"correct","correct","A1_B2"
1,38782,"currency","fatal","fatal",100,"correct","correct","A2_B1"
1,38782,"delayed","mature","mature",100,"correct","correct","A1_B2"
1,38782,"demand","IDK","upon",0,"wrong","wrong","A2_B1"
1,38782,"depend","upon","breed",0,"wrong","wrong","A1_B1"
1,38782,"dive","frontier","frontier",100,"correct","correct","A2_B1"
1,38782,"donation","confined","portray",13,"wrong","wrong","A2_B2"
1,38782,"editing","guiding","guiding",100,"correct","correct","A2_B1"
1,38782,"gallery","spacious","spacious",100,"correct","correct","A1_B2"
1,38782,"gifted","ominous","ominous",100,"correct","correct","A1_B1"
1,38782,"grape","flower","flower",100,"correct","correct","trial"
1,38782,"harass","annual","annual",100,"correct","correct","A2_B1"
1,38782,"heroic","mischief","mischief",100,"correct","correct","A2_B1"
1,38782,"laser","hunter","hunter",100,"correct","correct","A2_B2"
1,38782,"liberty","regard","regard",100,"correct","correct","A1_B2"
1,38782,"madness","writer","writer",100,"correct","correct","A2_B2"
1,38782,"modesty","nurse","flyer",20,"wrong","wrong","A1_B1"
1,38782,"mole","compute","compute",100,"correct","correct","A2_B2"
1,38782,"mutant","nurse","nurse",100,"correct","correct","A1_B2"
1,38782,"olive","knob","knob",100,"correct","correct","A1_B1"
1,38782,"orange","tree","tree",100,"correct","correct","trial"
1,38782,"orphan","folklore","folklore",100,"correct","correct","A1_B2"
1,38782,"pageant","habitat","habitat",100,"correct","correct","A2_B2"
1,38782,"pigeon","educate","educate",100,"correct","correct","A1_B1"
1,38782,"poised","east","east",100,"correct","correct","A1_B2"
1,38782,"proposal","natives","natives",100,"correct","correct","A1_B1"
1,38782,"publicity","crack","crack",100,"correct","correct","A2_B1"
1,38782,"publish","divine","divine",100,"correct","correct","A2_B1"
1,38782,"sacred","wasp","wasp",100,"correct","correct","A2_B2"
1,38782,"sewer","litter","litter",100,"correct","correct","A2_B1"
1,38782,"surgical","chemist","chemist",100,"correct","correct","A1_B2"
1,38782,"vessel","venom","venom",100,"correct","correct","A1_B1"
1,38785,"adjust","donation","donation",100,"correct","correct","A2_B2"
1,38785,"anguish","bloom","flyer",20,"wrong","wrong","A2_B2"
1,38785,"apple","fruit","fruit",100,"correct","correct","trial"
1,38785,"banner","crack","crack",100,"correct","correct","A2_B1"
1,38785,"bloom","striped","striped",100,"correct","correct","A1_B2"
1,38785,"boost","portray","portray",100,"correct","correct","A1_B1"
1,38785,"breeding","IDK","hunter",0,"wrong","wrong","A1_B2"
1,38785,"broker","knob","knob",100,"correct","correct","A1_B1"
1,38785,"click","mature","mature",100,"correct","correct","A2_B2"
1,38785,"compound","wasp","wasp",100,"correct","correct","A2_B2"
1,38785,"confined","nuisance","nuisance",100,"correct","correct","A1_B1"
1,38785,"cosmic","IDK","prolong",0,"wrong","wrong","A1_B2"
1,38785,"currency","giggle","giggle",100,"correct","correct","A2_B1"
1,38785,"delayed","compute","compute",100,"correct","correct","A1_B2"
1,38785,"demand","natives","natives",100,"correct","correct","A2_B1"
1,38785,"depend","vitamin","vitamin",100,"correct","correct","A1_B1"
1,38785,"dive","litter","litter",100,"correct","correct","A2_B1"
1,38785,"donation","frozen","frozen",100,"correct","correct","A2_B2"
1,38785,"editing","oyster","oyster",100,"correct","correct","A2_B1"
1,38785,"gallery","divine","divine",100,"correct","correct","A1_B2"
1,38785,"gifted","IDK","frontier",18,"wrong","wrong","A1_B1"
1,38785,"grape","flower","flower",100,"correct","correct","trial"
1,38785,"harass","annual","annual",100,"correct","correct","A2_B1"
1,38785,"heroic","mischief","mischief",100,"correct","correct","A2_B1"
1,38785,"laser","spacious","spacious",100,"correct","correct","A2_B2"
1,38785,"liberty","venom","venom",100,"correct","correct","A1_B2"
1,38785,"madness","writer","writer",100,"correct","correct","A2_B2"
1,38785,"modesty","nurse","nurse",100,"correct","correct","A1_B1"
1,38785,"mole","educate","educate",100,"correct","correct","A2_B2"
1,38785,"mutant","east","east",100,"correct","correct","A1_B2"
1,38785,"olive","fatal","fatal",100,"correct","correct","A1_B1"
1,38785,"orange","tree","tree",100,"correct","correct","trial"
1,38785,"orphan","folklore","folklore",100,"correct","correct","A1_B2"
1,38785,"pageant","banking","banking",100,"correct","correct","A2_B2"
1,38785,"pigeon","wizard","wizard",100,"correct","correct","A1_B1"
1,38785,"poised","habitat","habitat",100,"correct","correct","A1_B2"
1,38785,"proposal","chemist","chemist",100,"correct","correct","A1_B1"
1,38785,"publicity","hairdo","hairdo",100,"correct","correct","A2_B1"
1,38785,"publish","guiding","guiding",100,"correct","correct","A2_B1"
1,38785,"sacred","breed","breed",100,"correct","correct","A2_B2"
1,38785,"sewer","ominous","ominous",100,"correct","correct","A2_B1"
1,38785,"surgical","regard","regard",100,"correct","correct","A1_B2"
1,38785,"vessel","upon","upon",100,"correct","correct","A1_B1"
1,38789,"adjust","nuisance","nuisance",100,"correct","correct","A2_B2"
1,38789,"anguish","fatal","fatal",100,"correct","correct","A2_B2"
1,38789,"apple","tree","tree",100,"correct","correct","trial"
1,38789,"banner","chemist","chemist",100,"correct","correct","A2_B1"
1,38789,"bloom","east","east",100,"correct","correct","A1_B2"
1,38789,"boost","spacious","spacious",100,"correct","correct","A1_B1"
1,38789,"breeding","IDK","portray",0,"wrong","wrong","A1_B2"
1,38789,"broker","striped","striped",100,"correct","correct","A1_B1"
1,38789,"click","litter","litter",100,"correct","correct","A2_B2"
1,38789,"compound","venom","venom",100,"correct","correct","A2_B2"
1,38789,"confined","donation","donation",100,"correct","correct","A1_B1"
1,38789,"cosmic","laser","guiding",0,"wrong","wrong","A1_B2"
1,38789,"currency","habitat","habitat",100,"correct","correct","A2_B1"
1,38789,"delayed","compute","compute",100,"correct","correct","A1_B2"
1,38789,"demand","upon","upon",100,"correct","correct","A2_B1"
1,38789,"depend","upon","natives",18,"wrong","wrong","A1_B1"
1,38789,"dive","mature","mature",100,"correct","correct","A2_B1"
1,38789,"donation","confined","hunter",29,"wrong","wrong","A2_B2"
1,38789,"editing","oyster","oyster",100,"correct","correct","A2_B1"
1,38789,"gallery","prolong","prolong",100,"correct","correct","A1_B2"
1,38789,"gifted","IDK","mischief",18,"wrong","wrong","A1_B1"
1,38789,"grape","fruit","fruit",100,"correct","correct","trial"
1,38789,"harass","giggle","giggle",100,"correct","correct","A2_B1"
1,38789,"heroic","ominous","ominous",100,"correct","correct","A2_B1"
1,38789,"laser","cosmic","divine",17,"wrong","wrong","A2_B2"
1,38789,"liberty","IDK","breed",25,"wrong","wrong","A1_B2"
1,38789,"madness","folklore","folklore",100,"correct","correct","A2_B2"
1,38789,"modesty","flyer","flyer",100,"correct","correct","A1_B1"
1,38789,"mole","wizard","wizard",100,"correct","correct","A2_B2"
1,38789,"mutant","nurse","nurse",100,"correct","correct","A1_B2"
1,38789,"olive","banking","banking",100,"correct","correct","A1_B1"
1,38789,"orange","flower","flower",100,"correct","correct","trial"
1,38789,"orphan","educate","educate",100,"correct","correct","A1_B2"
1,38789,"pageant","annual","annual",100,"correct","correct","A2_B2"
1,38789,"pigeon","writer","writer",100,"correct","correct","A1_B1"
1,38789,"poised","knob","knob",100,"correct","correct","A1_B2"
1,38789,"proposal","vitamin","vitamin",100,"correct","correct","A1_B1"
1,38789,"publicity","wasp","wasp",100,"correct","correct","A2_B1"
1,38789,"publish","IDK","frozen",0,"wrong","wrong","A2_B1"
1,38789,"sacred","regard","regard",100,"correct","correct","A2_B2"
1,38789,"sewer","frontier","frontier",100,"correct","correct","A2_B1"
1,38789,"surgical","hairdo","hairdo",100,"correct","correct","A1_B2"
1,38789,"vessel","crack","crack",100,"correct","correct","A1_B1"
1,39038,"adjust","idk","divine",22,"wrong","wrong","A2_B2"
